q,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,var_qi,i,Q,var_agg_i
2,36914606586.49569,35932570153.86472,35098608106.474945,34215031289.996742,34177006322.873722,34144141276.100784,33904029122.78397,33473192996.379494,33389824414.301945,33243351736.371536,33151305555.333668,33052258086.81206,33883316705.284214,34013553321.379726,34710592340.308586,35566602391.36825,0.00018570396896027642,3,10,0.0005887338417305478
3,36411208742.48332,36159464333.54627,35507685271.494194,34914340075.82182,33989238423.925667,33943777956.9056,33850367077.072514,33082672934.828045,32562602698.790024,32318831735.845127,32516852460.01379,33294125994.361225,33527892033.809868,33710838212.47051,34660965293.15309,36081110412.90351,0.00028457032911748147,3,10,0.0005887338417305478
4,38275632077.43612,37914776667.6772,37519122554.56687,35884697006.7987,34549767677.947716,33181866044.1775,32598592502.26675,32809785979.585243,32697557499.057316,32445903738.17521,32541094651.127106,32810017371.39374,32577761405.810257,33900249033.22512,34287161720.496956,36343940298.28175,0.0006803776538264895,3,10,0.0005887338417305478
5,36046212047.28272,34539072706.94418,34464747054.68241,34481191268.34444,33352926878.825626,30679363423.077034,31338361774.389534,31707276258.667965,31784132353.52038,32708906400.189323,33652950817.647377,35481844847.73158,34500483792.651566,35635123377.46597,35952048862.23842,36679614651.410965,0.0005731657698229033,3,10,0.0005887338417305478
6,35964416169.160706,35228036656.55123,33052577077.160873,34092839413.568913,33358332616.194496,34003713292.382473,32895340315.110947,32522445182.24411,32217237527.698437,34265709812.099422,33306197445.85704,33049260022.20123,34894549746.217094,35294450581.74339,34860754639.30245,37354729038.26959,0.00030411033496450585,3,10,0.0005887338417305478
7,30723506424.617584,28776057845.70408,31544911662.068245,30294236298.832886,30445958819.680927,30390370781.092953,33543381305.28046,31885332584.06699,34840784749.929924,35300504590.79046,36139038451.94713,39865887082.23206,41608372065.026596,39961784999.57826,39889934106.8358,40245723855.44119,0.002956655831454354,3,10,0.0005887338417305478
8,35009123502.626396,30761302613.58078,30086585882.723488,28551356244.976418,31074057682.167183,24635048606.939545,24256702334.490566,24349000946.09436,26700307564.537567,29840219676.814312,26834672563.617004,27557455043.622536,30932206052.09085,35274741107.837944,31794365637.037098,36412975487.14087,0.00314936107013775,3,10,0.0005887338417305478
9,59089103894.42306,58983149125.51807,47909338410.75426,43605990035.59146,50255038817.19231,38111053522.07655,47083089559.01801,34236908803.90439,32451348644.1277,34224731202.44093,32407172719.475864,29720070957.477882,35205835942.40665,36603668239.03876,45799420111.75302,48513025754.80627,0.008986756837123803,3,10,0.0005887338417305478
0,36298620526.32388,35389559846.73038,34610490488.745926,34186407683.56259,33789251144.616783,33435031877.244255,33191509631.43026,33133657989.321037,33147745679.451023,33279359155.13443,33541582894.927204,33867264092.65236,34275740543.008976,34772081038.89516,35579684090.994446,36568549233.86648,0.00019870831195151415,4,10,0.00043516722608427676
1,36558507174.73788,35661935609.32771,34739666363.022,34254410961.285645,33795891956.25299,33496456993.22695,33223975819.97202,33244719119.930042,33158434181.267815,33244930994.176846,33633431198.916298,33914194358.164433,34282638167.74744,34677602631.78073,35464449685.46053,36139330573.160416,0.00018997917468273259,4,10,0.00043516722608427676
2,36289336141.52087,35608587215.03515,34952677637.17257,34662240971.741066,34017738553.66762,33685573526.427464,32984910553.459225,33081800661.91837,33232075373.861954,32928267432.745422,33403161844.172657,34069614309.82051,34315068819.471786,34646337695.026306,35080880864.88351,35940505693.23302,0.0001820759995058773,4,10,0.00043516722608427676
3,37198283784.93275,35765395440.373184,35067312528.124596,34136542244.228382,33471671974.343098,33370532412.33303,32932087820.999596,33192787907.67564,33024575985.60881,33303686930.97021,33541168149.883255,34246997366.75329,33904438673.182407,34881493781.23546,35923114090.16199,36017331229.75535,0.00025954924461786457,4,10,0.00043516722608427676
4,35698914915.58316,34351082374.661903,34249871702.895546,34904888330.02276,35167276346.91038,34014638932.009884,33693309869.60125,33463757256.657314,33319057493.445103,33879988219.747498,33506509814.05874,33788615805.358524,33716291783.157696,33781306633.060978,35086669981.03059,35757826216.59662,0.0001012607266601745,4,10,0.00043516722608427676
5,39391534929.46811,36341705190.80926,36229501524.90034,34522387842.36362,33264734028.5399,32772280792.05586,32435969276.740036,31960049580.295773,32841687150.939686,32934531411.197315,33016109018.370644,33352851261.14197,33913629948.936398,34172180761.35231,33349818558.65094,35019000450.817085,0.0005398826039707141,4,10,0.00043516722608427676
6,36418673347.436264,34532724990.51823,35743946288.0237,35843581875.0823,34641303718.86796,34184881488.01591,32108514437.294876,32777400341.278957,33248934043.552998,33921479601.82951,32956264412.26174,33621388283.14476,34578611608.241295,35749033923.88756,37694366633.05792,35426330490.771095,0.0003483689335724067,4,10,0.00043516722608427676
7,37312498052.167274,32468873994.732903,34421046672.16359,33733984345.82823,33645829240.41235,36851200611.59867,33039408395.82323,32516320354.857887,36316551007.43519,32756053661.65323,34556309852.77842,37669244658.04315,36464490223.567764,36266984304.54868,32933359529.56929,31280618847.87156,0.0006416795427622966,4,10,0.00043516722608427676
8,22592526977.006863,24962345458.041924,25386340425.25656,29058441140.565598,28522789809.840904,24360735241.348713,28461067239.57698,26668583139.830833,24387835579.63337,25460536044.481632,27162869142.088432,36890303864.51245,34238654386.992622,29658196849.140587,28545397994.955578,30328975296.37035,0.0030970496286508607,4,10,0.00043516722608427676
9,71288928546.52759,61074033793.96363,47649137976.00452,41403969931.10654,41482397791.99097,35408536143.58348,39589450268.72557,27649155546.132675,37453977715.341225,40570714700.15353,32590458259.47852,27258137832.58663,32816571386.188896,31662586807.90628,36604740702.739426,38810106209.30042,0.012339048007931529,4,10,0.00043516722608427676
