CPA ID 6,CPA label 6,CPA ID 4,CPA ID 3,CPA ID 2,CPA label 4,CPA label 3,CPA label 2,CPA ID 1
139216,"Furnishing articles n.e.c.; sets of woven fabric and yarn for making up into rugs, tapestries and the like",1392,139,13,"Made-up textile articles, except apparel",Other textiles,Textiles,C
139221,"Sacks and bags, of a kind used for the packing of goods",1392,139,13,"Made-up textile articles, except apparel",Other textiles,Textiles,C
139222,"Tarpaulins, awnings and sunblinds; sails for boats, sailboards or landcraft; tents and camping goods (including pneumatic mattresses)",1392,139,13,"Made-up textile articles, except apparel",Other textiles,Textiles,C
139223,Parachutes (including dirigible parachutes) and rotochutes; parts thereof,1392,139,13,"Made-up textile articles, except apparel",Other textiles,Textiles,C
139224,"Quilts, eiderdowns, cushions, pouffes, pillows, sleeping bags and the like, fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics",1392,139,13,"Made-up textile articles, except apparel",Other textiles,Textiles,C
139229,"Other made-up textile articles (including floor cloths, dish-cloths, dusters and similar cleaning cloths, life-jackets and life-belts)",1392,139,13,"Made-up textile articles, except apparel",Other textiles,Textiles,C
139299,"Sub-contracted operations as part of manufacturing of made-up textile articles, except apparel",1392,139,13,"Made-up textile articles, except apparel",Other textiles,Textiles,C
139311,"Carpets and other textile floor coverings, knotted",1393,139,13,Carpets and rugs,Other textiles,Textiles,C
139312,"Carpets and other textile floor coverings, woven, not tufted or flocked",1393,139,13,Carpets and rugs,Other textiles,Textiles,C
139313,"Carpets and other textile floor coverings, tufted",1393,139,13,Carpets and rugs,Other textiles,Textiles,C
139319,Other carpets and textile floor coverings (including those of felt),1393,139,13,Carpets and rugs,Other textiles,Textiles,C
139399,Sub-contracted operations as part of manufacturing of carpets and rugs,1393,139,13,Carpets and rugs,Other textiles,Textiles,C
139411,"Twine, cordage, rope and cables, of jute or other textile bast fibres",1394,139,13,"Cordage, rope, twine and netting",Other textiles,Textiles,C
139412,"Knotted netting of twine, cordage or rope, made up nets of textile materials; articles of yarn, strip n.e.c.",1394,139,13,"Cordage, rope, twine and netting",Other textiles,Textiles,C
139420,"Rags, scrap twine, cordage, rope and cables and worn out articles of textile materials",1394,139,13,"Cordage, rope, twine and netting",Other textiles,Textiles,C
139499,"Sub-contracted operations as part of manufacturing of cordage, rope, twine and netting",1394,139,13,"Cordage, rope, twine and netting",Other textiles,Textiles,C
139510,"Non-wovens and articles made from non-wovens, except apparel",1395,139,13,"Non-wovens and articles made from non-wovens, except apparel",Other textiles,Textiles,C
139599,"Sub-contracted operations as part of manufacturing of non-wovens and articles made from non-wovens, except apparel",1395,139,13,"Non-wovens and articles made from non-wovens, except apparel",Other textiles,Textiles,C
139611,Metallised yarn or metallised gimped yarn,1396,139,13,Other technical and industrial textiles,Other textiles,Textiles,C
139612,Woven fabrics of metal thread and woven fabrics of metallised yarn n.e.c.,1396,139,13,Other technical and industrial textiles,Other textiles,Textiles,C
139613,"Rubber thread and cord, textile covered; textile yarn and strip, impregnated or covered with rubber or plastics",1396,139,13,Other technical and industrial textiles,Other textiles,Textiles,C
139614,"Textile fabrics, impregnated, coated or covered n.e.c.",1396,139,13,Other technical and industrial textiles,Other textiles,Textiles,C
139615,"Tyre cord fabric of high tenacity yarn of nylon or other polyamides, polyesters or viscose rayon",1396,139,13,Other technical and industrial textiles,Other textiles,Textiles,C
139616,"Textile products and articles for technical uses (including wicks, gas mantles, hose piping, transmission or conveyor belts, bolting cloth and straining cloth)",1396,139,13,Other technical and industrial textiles,Other textiles,Textiles,C
139617,Narrow woven fabrics; narrow fabrics of warp without weft assembled by adhesive (bolducs); trimmings and the like,1396,139,13,Other technical and industrial textiles,Other textiles,Textiles,C
139699,Sub-contracted operations as part of manufacturing of technical and industrial textiles,1396,139,13,Other technical and industrial textiles,Other textiles,Textiles,C
139911,"Tulles and other net fabrics, except woven, knitted or crocheted fabrics; lace in the piece, in strips or in motifs",1399,139,13,Other textiles n.e.c.,Other textiles,Textiles,C
139912,"Embroidery in the piece, in strips or in motifs",1399,139,13,Other textiles n.e.c.,Other textiles,Textiles,C
139913,"Felt, coated, covered or laminated",1399,139,13,Other textiles n.e.c.,Other textiles,Textiles,C
